X,Y,Z,body,wl,wr
39,25,15,1,0,0
39,25,16,1,0,0
39,25,17,1,0,0
39,25,18,1,0,0
39,25,19,1,0,0
39,25,20,1,0,0
39,25,21,1,0,0
39,26,10,1,0,0
39,26,11,1,0,0
39,26,12,1,0,0
39,26,13,1,0,0
39,26,14,1,0,0
39,26,15,1,0,0
39,26,16,1,0,0
39,26,17,1,0,0
39,26,18,1,0,0
39,26,19,1,0,0
39,26,20,1,0,0
39,26,21,1,0,0
39,26,22,1,0,0
39,27,11,1,0,0
39,27,12,1,0,0
39,27,13,1,0,0
39,27,14,1,0,0
39,27,15,1,0,0
39,27,16,1,0,0
39,27,17,1,0,0
39,27,18,1,0,0
39,27,19,1,0,0
39,27,20,1,0,0
39,27,21,1,0,0
39,27,22,1,0,0
39,28,11,1,0,0
39,28,12,1,0,0
39,28,13,1,0,0
39,28,14,1,0,0
39,28,15,1,0,0
39,28,16,1,0,0
39,28,17,1,0,0
39,28,18,1,0,0
39,28,19,1,0,0
39,28,20,1,0,0
39,28,21,1,0,0
39,28,22,1,0,0
39,28,23,1,0,0
39,29,11,1,0,0
39,29,12,1,0,0
39,29,13,1,0,0
39,29,14,1,0,0
39,29,15,1,0,0
39,29,16,1,0,0
39,29,17,1,0,0
39,29,18,1,0,0
39,29,19,1,0,0
39,29,20,1,0,0
39,29,21,1,0,0
39,29,22,1,0,0
39,30,11,1,0,0
39,30,12,1,0,0
39,30,13,1,0,0
39,30,14,1,0,0
39,30,15,1,0,0
39,30,16,1,0,0
39,30,17,1,0,0
39,30,18,1,0,0
39,30,19,1,0,0
39,30,20,1,0,0
39,30,21,1,0,0
39,30,22,1,0,0
39,30,23,1,0,0
39,31,11,1,0,0
39,31,12,1,0,0
39,31,13,1,0,0
40,20,17,1,0,0
40,20,18,1,0,0
40,20,19,1,0,0
40,20,20,1,0,0
40,21,10,1,0,0
40,21,11,1,0,0
40,21,12,1,0,0
40,21,13,1,0,0
40,21,14,1,0,0
40,21,15,1,0,0
40,21,16,1,0,0
40,21,17,1,0,0
40,21,18,1,0,0
40,21,19,1,0,0
40,21,20,1,0,0
40,22,10,1,0,0
40,22,11,1,0,0
40,22,12,1,0,0
40,22,13,1,0,0
40,22,14,1,0,0
40,22,15,1,0,0
40,22,16,1,0,0
40,22,17,1,0,0
40,22,18,1,0,0
40,22,19,1,0,0
40,22,20,1,0,0
40,22,21,1,0,0
40,23,10,1,0,0
40,23,11,1,0,0
40,23,12,1,0,0
40,23,13,1,0,0
40,23,14,1,0,0
40,23,15,1,0,0
40,23,16,1,0,0
40,23,17,1,0,0
40,23,18,1,0,0
40,23,19,1,0,0
40,23,20,1,0,0
40,23,21,1,0,0
40,24,10,1,0,0
40,24,11,1,0,0
40,24,12,1,0,0
40,24,13,1,0,0
40,24,14,1,0,0
40,24,15,1,0,0
40,24,16,1,0,0
40,24,17,1,0,0
40,24,18,1,0,0
40,24,19,1,0,0
40,24,20,1,0,0
40,24,21,1,0,0
40,25,10,1,0,0
40,25,11,1,0,0
40,25,12,1,0,0
40,25,13,1,0,0
40,25,14,1,0,0
40,25,15,1,0,0
40,25,16,1,0,0
40,25,17,1,0,0
40,25,18,1,0,0
40,25,19,1,0,0
40,25,20,1,0,0
40,25,21,1,0,0
40,25,22,1,0,0
40,26,11,1,0,0
40,26,12,1,0,0
40,26,13,1,0,0
40,26,14,1,0,0
